id,pref_id,name
1,13,"銀座、新橋、有楽町"
2,13,"東京・日本橋・大手町"
3,13,"新宿・代々木"
4,13,"原宿・表参道・青山"
5,13,"渋谷・神泉"
6,13,"代官山、恵比寿-五反田"
7,13,"六本木・麻布・広尾・白金"
8,13,"赤坂・溜池山王"
9,13,"四ツ谷-飯田橋・神楽坂"
10,13,"秋葉原-水道橋・神田"
11,13,"上野・日暮里・湯島"
12,13,"池袋-高田馬場・巣鴨"
13,13,"三田、浜松町-品川"
14,13,"湾岸・築地・お台場"
15,13,"浅草・両国-小岩・錦糸町"
16,13,"中野・高円寺-三鷹"
17,13,"大井・大森・蒲田"
18,13,"東急沿線"
19,13,"京王、小田急沿線"
20,13,"千住、綾瀬"
21,13,"西武沿線"
22,13,"板橋・赤羽・東武沿線"
23,13,"多摩（府中・立川・八王子）"
101,1,"札幌大通周辺"
102,1,"札幌狸小路、すすきの"
103,1,"円山周辺"
104,1,"南区、豊平区、清田区"
105,1,"西区、手稲区"
106,1,"北区"
107,1,"東区、白石区、厚別区"
108,1,"小樽市"
109,1,"道央・石狩・その他"
110,1,"道南、函館、室蘭"
111,1,"道北、旭川、富良野"
112,1,"道東、釧路、紋別"
113,1,"中央区南部"
201,4,"仙台中央部"
202,4,"仙台北部"
203,4,"仙台南部"
204,4,"仙台東部"
205,4,"作並-仙台西部"
206,4,"泉周辺"
207,4,"松島・塩釜"
301,23,"北区、守山区"
302,23,"名古屋駅"
303,23,"伏見・丸の内"
304,23,"栄・新栄"
305,23,"西区、中村区、中川区"
306,23,"名東区、天白区、緑区"
307,23,"港区、熱田区、南区"
308,23,"豊田、岡崎、新城"
309,23,"豊橋、豊川、蒲郡"
310,22,"静岡市"
312,22,"伊豆、熱海、三島"
320,22,"富士・御殿場"
321,22,"掛川、焼津、御前崎"
322,22,"浜松、静岡西部"
323,21,"岐阜市・各務原周辺"
325,21,"郡上・美濃・長良川"
326,21,"中津川・土岐・多治見"
327,21,"大垣、関ヶ原、養老の滝"
328,24,"津市"
329,24,"桑名、四日市、鈴鹿"
330,24,"伊賀、名張"
331,24,"松阪、伊勢、志摩、鳥羽"
332,24,"熊野、東紀州"
340,23,"中区、東区"
341,23,"千種区、昭和区、瑞穂区"
342,23,"一宮、小牧、弥富、瀬戸"
343,23,"常滑、半田、安城、日進"
401,27,"新地、梅田、北、十三"
402,27,"天満橋、京橋、鶴橋"
403,27,"淀屋橋、北浜、本町"
404,27,"心斎橋、なんば"
405,27,"天王寺"
406,27,"大阪市内その他"
407,27,"堺市"
408,27,"大阪府北部"
409,27,"枚方、東大阪、柏原"
410,27,"岸和田、河内、大阪南部"
